module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Workflow,_meta,,,,,,,,,false,https://docs.bmad-method.org/llms.txt,
Workflow,prd,Create Edit and Review PRD,PRD,"Facilitated PRD workflow — create a new PRD via coached discovery, update an existing one against a change signal, or validate a finished PRD against a checklist with an HTML findings report.",,,2-planning,product-brief,,true,runs/<run-slug>/02-plan/prd.md,prd
Workflow,ux,Create UX,CU,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project.",,,2-planning,prd,,false,runs/<run-slug>/02-plan/ux/,ux design
Workflow,project-context,Project Context,PC,"Set up or refresh a repo's agent instructions so AI agents work well in it: verified commands, policy, conventions that differ from defaults, and known pitfalls. Setup, refresh, record, and audit — replaces document-project and generate-project-context.",,,anytime,,,false,repo root,AGENTS.md managed block
Workflow,spec,Spec,SPC,"Use to distill any intent input (brief, PRD, transcript, brain dump, design folder, mixed multi-source) into a succinct, no-fluff SPEC.md contract + companions that downstream work derives from. Locks the WHAT before the HOW. Works for software, game design, research, editorial, policy, business, anything intent-bearing. Validation mode also available.",,[path],anytime,,,false,runs/<run-slug>/02-plan/spec/,SPEC.md + companion files
Workflow,correct-course,Correct Course,CC,Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories.,,,anytime,,,false,runs/<run-slug>/02-plan/,change proposal
Workflow,sprint-planning,Sprint Status,SS,Anytime: summarize the current short sprint from its ordered commit-sized slices; can also validate or repair coordination without inventing implementation progress.,status,,anytime,,,false,runs/<run-slug>/03-slices/sprint-status.yaml,slice status summary
Workflow,brainstorming,Brainstorm Project,BP,Expert guided facilitation through a single or multiple techniques.,,,plan,,,false,runs/<run-slug>/00-discovery/<topic-slug>/,brainstorming session
Workflow,product-brief,Create Brief,CB,An expert guided experience to nail down your product idea in a brief. a gentler approach than PRFAQ when you are already sure of your concept and nothing will sway you.,,-A,plan,,,false,runs/<run-slug>/02-plan/brief.md,product brief
Workflow,prfaq,PRFAQ Challenge,WB,Working Backwards guided experience to forge and stress-test your product concept to ensure you have a great product that users will love and need through the PRFAQ gauntlet to determine feasibility and alignment with user needs. alternative to product brief.,,-H,plan,,,false,runs/<run-slug>/02-plan/prfaq/,prfaq document + distillate
Workflow,architecture,Architecture,CA,Offer once requirements exist (a PRD or spec; plus UX if present) and the user is ready to move from what to how. Also offer any time independently-built parts risk diverging. Produces the architecture spine: the invariants that keep features epics and stories consistent. Comes before epics and stories and scales from a quick spine to a full architecture (brownfield: ratifies the existing codebase).,,,plan,,,true,runs/<run-slug>/02-plan/architecture/,architecture
Workflow,create-epics-and-stories,Create Coarse Roadmap,CE,Organize the rough plan into capability horizons risks and revisable candidate increments without pre-planning detailed implementation stories.,,,plan,architecture,sprint-planning,true,runs/<run-slug>/02-plan/epics/,rough roadmap index + inventory + horizon shards
